2018,2019,2020,2021,2022,2018Pred,2019Pred,2020Pred,2021Pred,2022Pred,2018Rate,2019Rate,2020Rate,2021Rate,2022Rate
95.1,94.3,96.9,100.3,107.2,0,0,0,1,1,4.03,4.46,3.62,2.74,3.45
96.7,96.3,97.4,108.4,107.9,0,0,0,1,1,4.33,4.37,3.47,2.81,3.76
95.1,98.4,99.2,106.2,97.0,0,0,0,1,0,4.44,4.27,3.45,3.08,4.17
95.4,102.1,105.3,104.6,93.7,0,1,1,1,0,4.47,4.14,3.31,3.06,4.98
100.7,102.4,99.2,101.6,,1,1,0,1,,4.59,4.07,3.23,2.96,5.23
101.6,99.0,103.6,98.6,,1,0,1,0,,4.57,3.8,3.16,2.98,
101.6,100.4,106.5,96.4,,1,1,1,0,,4.53,3.77,3.02,2.87,
101.7,103.1,105.8,94.3,,1,1,1,0,,4.55,3.62,2.94,2.84,
101.7,103.0,105.6,101.7,,1,1,1,1,,4.63,3.61,2.89,2.9,
98.0,99.3,102.1,99.5,,0,0,1,0,,4.83,3.69,2.83,3.07,
99.5,102.6,107.4,106.7,,0,1,1,1,,4.87,3.7,2.77,3.07,
103.7,107.6,109.8,117.0,,1,1,1,1,,4.64,3.72,2.68,3.1,
